bbox1,bbox2,bbox3,bbox4,text,articleID,category,note
2989,544,3007,1394,,,,
2961,1424,2995,3900,,,,
2929,544,3008,7569,,,,
3004,563,3887,1492,"is the primary object of supervis ion, is best served by keeping the control of insurance companies as close as possible to the people, They can protect their own in terest best because legislators and high officials are all policy—hol ders. If they fail to do so, it is not due to their lack of power. To take supervision from the States would deprive the states of the right of protection, a power exercised by the policy-holders.",1,text,
3001,1507,3873,1850,"The second debater who spoke for uniform governmental regu lation and control was Mr. Spence, whose argument is here given in part",1,text,
2994,1869,3868,2432,"He began by reiterating what his colleague had said as to the universality, magnitude and im portance of the business of life insurance. Heshowed how these great interests had been perverted to work iniquity and thwarted by a long train of evils.",1,text,
2984,2451,3862,3894,"What remedy then should he offer? He referred to the possible methods of control: Individual, State, and Federal, and showed how the first was unworthy of consideration since corporations were corrupt and hard to deal with. He stated that life in surance corporations were notably so. He also showed that the present system had too many laws which conflicted and thwarted each other. He showed further that the present system failed to give publicity, that the States were blind to insurance defects, that its officials were in the plun dering game, and that the com panies controlled the legislatures by bribery. |",1,text,
2971,3899,3848,5031,"Continuing the speaker then declared that the revelations of the investigations made it imper ative that control should be shifted to the Federal govern ment; and that the present con ditions were fast leading to the overthrow of free institutions. He showed that insurance vitally at fected the great masses of people, inasmuch as it encouraged thrift, provided for the bereaved, and greatly aided business enterprises, and consequently he claimed that it was a fit business for govern mental control.",1,text,
2962,5059,3833,5623,"But he insisted that the in surance business was even more than national,—it was interna tional also. He referred to the great business done abroad by American companies, and showed that Federal control would com mand more respect for them.",1,text,
2956,5636,3830,6184,"The speaker then showed the government’s efficiency along lines of control and cited the post offices as examples. He referred to the success of the banks, and stated that the government could control life insurance equally as well.",1,text,
2950,6215,3822,7432,"But there were objections to be met. The Supreme Court had declared that insurance was not commerce and under the Consti tution the government was with out power. ‘The -speaker, how ever, maintained that it was a question of expediency and was worthy of a constitutional amend ment. While his opponents might argue that this would lead to unnecessary changes, he said, and tend towards paternalism. He showed that the present state of affairs was fast leading to the destruction of democracy by an interested plutocracy.",1,text,
2951,7441,3816,7579,"The speaker then summarized the position of the affirmative, and",1,text,
3910,572,4792,1413,"stated that government control would lessen expenses, bring uniformity, ward off petty exac tions, protect against the varia tions in the rulings of different commissioners, prevent retalia tory taxation, give more dignity to the business, afford greater pub licity and elevate the business in general. Upon these grounds he claimed the decision for the af firmative.",1,text,
3907,1441,4778,1646,"The last speaker was Mr, Hol ton, who in closing the debate spoke partly as follows:",1,text,
3889,1646,4774,3456,"He first contended that Federal regulation and control would be detrimental to the interests involv ed from a material and_ beneficial standpoint. This he proved by pointing out the needless hin drances and restraints it would impose upon them. He also showed the efficiency of State su pervision from the fact that in ‘Os years only two life insurance com panies have failed from all causes arising in that time, while in only 20 years 418 Federally regulated banks have failed. He then show ed. that. the states had achieved this efficiency by enforcing the laws without attempting to man age the companies in their own of fices. On the other hand the po licy of the affirmative would be harmful, because the very mean ing of control implies authority than which ownership itself could not be more absolute.",1,text,
3875,3483,4767,4484,"He opposed Federal regulation and control because it would be utterly subversive of the rights of the states and their citizens. Prom inent advocates of Federal regula tion admit this, unless insurance can be included under one of the seventeen powers of Congress; and the only one they try to in clude it under is the inter-state commerce clause. Against that he presented the fact that the United States Supreme Court has consistently and unanimously held",1,text,
3880,4492,4749,4615,that insurance is not commerce in a score of cases covering the last,1,text,
3852,4624,4744,7521,"thirty-five years. He quoted from Paul vs Virginia, 1880, and New York Life Insurance company vs Cravens, 1900, Federal regula tion is also subversive of the rights of the states, because it deprives them of power to protect their own citizens. At present a state may exclude an unreasonable in surance company, while the com pany need not enter a hostile state; each party thus being able to protect itself Federal regulation on the other hand, while leaving the companies this freedom of ac tion, would leave the states power less against them, for no state can forbid what is protected by Fed. eral regulation. Economists even now admit that a very effective solution of the trust problem would be found in giving the states power to protect themselves against other corporations, just as at present they protect themselves against hostile insurance compan ies. As an example of the way in which Federally regulated enter prises override state laws consider the manner in which intoxicants are shipped into Durham and oth er prohibition towns—all under cloak of inter-state commerce reg ulations under which the affirma tive would place the life insurance companies. And again the policy of the affirmative is subversive of state rights in that it ever deprives states of power to protect their own local corporations, and by",1,text,
3831,543,3913,7591,,,,
3837,7528,4718,7595,[enforcing uniformity of regulation,1,text,
0,7932,5138,8000,,,,
