bbox1,bbox2,bbox3,bbox4,text,articleID,category,note
3064,1548,3933,2251,"The first lecture arranged for by the committee of public speak ing for this year was delivered Friday evening in Craven Memo rial Hall by Mr. D. A. Tomp kins, of Charlotte, N. C. Owing to the very inclement weather there was only a small audience to hear his address. Especially were the students noticeable in",2,text,
3069,2275,3935,2324,their absence. The address was,2,text,
3068,2345,3944,2396,one of the best that has been.,2,text,
3068,2417,3945,3267,"heard here lately in that it was so very practical and plain. ‘Thespeaker is one of the State’s best -business and every utterance of his was backed by the life which he has himself lived. Heis one of the proprietors of the Charlotte Observer, a miil man of great repute, and has re cently been appointed as one of the directors of the Equitable Life Assurance Society. He is",2,text,
3488,2652,3593,2678,men,2,text,segmentation error
3071,3291,3941,3631,"also a member States Industrial Commission. Dr. Kilgo, in introducing him, “We count exceedingly fortunate",2,text,
3072,3507,3943,4053,"spoke as follows: ourselves in having with us this evening Mr. D, A. Tompkins, of Char lotte. Amonp the men who are great thinkers and workers in Southern life today, none stand resesnciedAbaw Me.<hompls",2,text,
3876,4022,3940,4058,RS Tar em,,,error
3075,4079,3950,4567,"and none more competent to talk to young men. He is one of those men who have made things continue to make thingshappen. Therefore, it is with great pleasure that I in troduce him to you.”’",2,text,
3079,4584,3955,4779,The theme of the speaker of of the evening was ‘‘The Value of Education in Practical Work.”’,2,text,
3084,4804,3715,4859,Here follows his speech:,2,text,
3077,4300,3571,4357,happen and who,2,text,segmentation error
3085,4885,3956,5235,"Gentlemen of Trinity College: I have often tion is the lowest priced thing in the world to buy and the highest priced thing to sell, if the com",2,text,
3506,4958,3953,5000,said that educa,2,text,segmentation error
3091,5247,3958,5584,"modity is made to suit the pur chaser, the public; and yet it is impossible to define what under varying conditions constitutes an education.",2,text,
3099,5617,3964,6105,The elements vary from time to time according to varying con ditions and they vary also with the purpose for which an educa It re quires the utmost vigilance and the utmost forethought to so,2,text,
3102,6122,3965,6217,formulate the plan of life for a 3,2,text,
3102,5907,3750,5965,tion is being undertaken.,2,text,segmentation error
3102,6194,3974,7624,"boy and a youth as to fit anc equip his mind, body, and moral character for efficient work in a particular line of work and to be a useful member of the com munity in which he may live, In addition to this difficulty of deter mining what education should be given to a youth in certain condi tions, the conditions change and their changes require mental instruction to keep the man abreast of the times and fitted to compete in the new con ditions. ‘The oldidea that educa tion was a thing to be accom plished and done with in boyhood and youth can no longer hold. The modern physician or surgeon must constantly study and some",2,text,
3792,6915,3971,6969,supple,2,text,segmentation error
3538,3285,3953,3330,of the United:,2,text,segmentation error
3945,1166,4001,7629,,,separator,
3964,1214,4833,1706,"times even stop his practice to take a course under suine special master to bring his education up to date. So with the locomotive engineer, the train hand, and others in responsible engineering or other industrial positions.",2,text,
3968,1723,4842,2418,It rarely happens that a com mon school or a high school or even a college education properly equips a young man for a_ partic ular line of work. Therefore special schools and other facilities for special study and instruction are coming to be one of the most important factors in modern edu cation.,2,text,
3973,2447,4902,3880,"Every education as received in the public schools and colleges, is incomplete. Practical life re quires in addition to general edu cation some specific supplemental instruction to adopt a general ed ucation to the requirement; of the particular work in hand. ‘This can generally only be done in, special day schools or night schools: which do not undertake ., to a general education. There are many who do not ap preciate this deficiency of general education and to whom it never occurs to take steps to correct it. The correction is easier done than one would unaturallysuppose. ‘The nan or the wants to work can general'y find",2,text,
4076,3259,4182,3298,give,2,text,segmentation error
3979,3752,4846,4380,"at work one who some night school or some _onro fessor or school ted@herre 4 person who will wives a * price, some special MnStrieee” fllupagapin an education to qualify a boy or man to do some special work.",2,text,
3984,4410,4848,4885,"Schools and colleges doing gen eral work will naturally try to supply more complete education, but on the otuer hand industrial development will become more exacting and will probably keep ahead.",2,text,
4110,4937,4724,4976,EDUCATION AND LABOR.,2,text,subtitle
3992,5012,4865,5723,When labor is scarce there are two methods of relief. Que is immigration and the other is in discerning natural forces and re sources and in devising machinery aud*appliances to harness these. To take advantage of the latter method the essential factor is education and _ practical training as will equip and qualify,2,text,
3999,5593,4109,5634,such,2,text,segmentation error
3977,5738,4866,5790,‘our boys and men to convert nat,2,text,
4001,5810,4872,6309,"ural forces to do the work which we would make cheap laborers do if we’ tinderteok to use cheap labor instead of natural forces. For example, as between util izing the rivers versus importing Chinese coolie",2,text,
4221,6182,4872,6455,"forces of our we under I answer unhesitatingly,",2,text,segmentation error
4006,6327,4874,6729,"labor, which should take? educate and train our own people to develop and use the water pow ers rather than import any alien race for labor.",2,text,
4008,6770,4924,7554,"At Whitney there is being .de veloped a water power which will yield over forty thousand horse power. This is the equivalent of 320,000 coolies.. As long as we depended on slave labor our im mense natutal resources and forces remained undeveloped and use less. Now that we are relying upon free and independent. white . labor again and that the com e",2,text,
4159,7573,4725,7621,(Continued on third page.),2,text,continued on third page
0,0,5150,8000,,,,
